Partlist

Exported from F030_R01.sch at 31.10.2019 12:09

EAGLE Version 9.2.1 Copyright (c) 1988-2018 Autodesk, Inc.

Assembly variant: 

Part     Value              Device                         Package            Library      Sheet
R73      10k                R-EU_R0805                     R0805              rcl          8
R74      75                 R-EU_R0805                     R0805              rcl          10
R75      1k                 R-EU_R0805                     R0805              rcl          8
R76      1k                 R-EU_R0805                     R0805              rcl          8
R77      47k                R-EU_R0805                     R0805              rcl          10
R78      1k                 R-EU_R0805                     R0805              rcl          8
R79      75                 R-EU_R0805                     R0805              rcl          10
R80      4k7                R-EU_R0805                     R0805              rcl          9
R81      4k7                R-EU_R0805                     R0805              rcl          9
R82      75                 R-EU_R0805                     R0805              rcl          10
R83      33                 R-EU_R0805                     R0805              rcl          4
R84      470                R-EU_R0805                     R0805              rcl          8
R85      1k                 R-EU_R0805                     R0805              rcl          10
R86      100k               R-EU_R0805                     R0805              rcl          10
R87      680k               R-EU_R0805                     R0805              rcl          10
R88      47                 R-EU_R0805                     R0805              rcl          12
R89      47                 R-EU_R0805                     R0805              rcl          12
R90      47                 R-EU_R0805                     R0805              rcl          12
R91      47                 R-EU_R0805                     R0805              rcl          12
R92      1k                 R-EU_R0805                     R0805              rcl          12
R93      1k                 R-EU_R0805                     R0805              rcl          12
R94      1k                 R-EU_R0805                     R0805              rcl          12
R95      1k                 R-EU_R0805                     R0805              rcl          12
R96      220                R-EU_R0805                     R0805              rcl          13
R97      220                R-EU_R0805                     R0805              rcl          13
R98      220                R-EU_R0805                     R0805              rcl          13
R99      220                R-EU_R0805                     R0805              rcl          13
R100     4k7                R-EU_R0805                     R0805              rcl          13
R101     1k                 R-EU_R0805                     R0805              rcl          13
R102     1k                 R-EU_R0805                     R0805              rcl          13
R103     1k                 R-EU_R0805                     R0805              rcl          13
R104     1k                 R-EU_R0805                     R0805              rcl          13
R105     4k7                R-EU_R0805                     R0805              rcl          13
R106     2k2                R-EU_R0805                     R0805              rcl          13
R107     1k                 R-EU_R0805                     R0805              rcl          13
R108     1k                 R-EU_R0805                     R0805              rcl          14
R109     10                 R-EU_R0805                     R0805              rcl          16
R110     10                 R-EU_R0805                     R0805              rcl          16
R111     50                 R-EU_R0805                     R0805              rcl          16
R112     50                 R-EU_R0805                     R0805              rcl          16
R113     22                 R-EU_R0805                     R0805              rcl          16
R114     22                 R-EU_R0805                     R0805              rcl          16
R115     22                 R-EU_R0805                     R0805              rcl          16
R116     22                 R-EU_R0805                     R0805              rcl          16
R117     1k                 R-EU_R0805                     R0805              rcl          16
R118     1k                 R-EU_R0805                     R0805              rcl          16
R119     1k                 R-EU_R0805                     R0805              rcl          16
R120     10k                R-EU_R0805                     R0805              rcl          16
R121     10k                R-EU_R0805                     R0805              rcl          16
R122     10k                R-EU_R0805                     R0805              rcl          16
R123     10k                R-EU_R0805                     R0805              rcl          16
R124     10k                R-EU_R0805                     R0805              rcl          16
